Temp,eta_0_target,eta_0_Ariel,eta_0_from_B2,eta_0_from_viscosity,eta_0_combined
300.0,9.7331,9.443197848923129,8.516104744914495,8.894309315929364,9.42709234997496
325.0,10.595999999999998,10.36200102028155,9.290950120229192,10.244380402309368,10.3465768045675
350.0,11.481,11.204479544382664,10.10102352776297,11.130453025218069,11.186937664745951
375.0,12.389000000000001,12.080355317030747,10.9417532181299,11.963745556406367,12.059830161823506
400.0,13.32,13.001818949218684,11.807840133467428,12.826170724923687,12.977886031888286
425.0,14.274000000000001,13.96678583930555,12.69374318491762,13.7286022194633,13.939138037290336
450.0,15.249,14.970759100069445,13.59407853217104,14.669841004293604,14.939169819517032
475.0,16.244,16.008280978676282,14.503897413777421,15.646483016200857,15.972608863573962
500.0,17.254,17.07337249635745,15.418831364086135,16.65432743340017,17.03356095162145
525.0,18.278,18.15994258587287,16.33513828399853,17.688704925680504,18.116011375462726
550.0,19.314,19.26212897750111,17.249687087274676,18.744750443277066,19.21416174309123
575.0,20.357,20.3745267152856,18.159909331842787,19.817655560891783,20.3226575104431
600.0,21.406999999999996,21.49231212978762,19.06373624475764,20.902860496272613,21.43671267683688
625.0,22.461,22.61128889410948,19.95953209595502,21.996176929372616,22.552157335738535
650.0,23.516,23.727882685112398,20.846029976260414,23.09385224110462,23.665434081798757
675.0,24.57,24.83910508905568,21.72227300723686,24.19259087123748,24.77356364560209
700.0,25.623,25.942501189984245,22.587562216440812,25.289547068046538,25.874094066684844
725.0,26.671999999999997,27.03609032906072,23.4414112926223,26.382300058232655,26.96504284067243
750.0,27.715999999999998,28.118305962952967,24.283507889659052,27.468819498725264,28.044837956536828
775.0,28.753,29.187938119392633,25.113680884765206,28.54742653514489,29.112261330910993
800.0,29.784000000000002,30.244080343869076,25.931872897509045,29.616753923735413,30.16639655235813
850.0,31.82,32.313506163583455,27.532519542880628,31.72342924610536,32.23236834718535
900.0,33.818000000000005,34.323727698484554,29.086485478791968,33.78273609910949,34.23980214150919
950.0,35.775999999999996,36.27425193134686,30.59551755385386,35.79137226550919,36.18810864715432
1000.0,37.691,38.16614036319969,32.06175785110022,37.748044696164946,38.07825868233046
1100.0,41.39,41.782735081906246,34.875231338778136,41.50686919381719,41.692496899358495
1200.0,44.92,45.19511155101657,37.54567631783822,45.06950398777372,45.10358024872243
1300.0,48.293,48.42712219769728,40.09065763957049,48.45278833191573,48.33497235983242
1400.0,51.523,51.50140730586191,42.52570878924851,51.67523785360365,51.409043464457916
1500.0,54.623999999999995,54.43811182830886,44.8642100598058,54.75473597500773,54.345756200393524
1600.0,57.611999999999995,57.25461220240056,47.11755058806595,57.70756344347013,57.162366670093306
1800.0,63.29600000000001,62.58377084860143,51.405890497566276,63.28885005114108,62.49176938052196
2000.0,68.66199999999999,67.58150997344904,55.45171649432193,68.51262095022396,67.48954948328236
2500.0,81.054,79.01719369722278,64.76921842677675,80.42087031722764,78.92396666695043
